opinion_positive,event_participation
20,9
63,8
9,1
34,1
23,3
55,5
25,7
77,0
81,0
98,1
95,3
83,2
22,4
21,6
95,2
69,0
83,5
37,5
65,4
77,4
7,3
51,2
93,7
42,1
90,0
53,8
66,6
14,5
63,2
59,1
36,8
89,3
46,4
18,3
37,3
16,6
81,2
37,5
48,0
24,8
45,9
46,0
45,6
54,0
35,2
68,2
57,4
85,5
51,3
52,4
84,7
63,9
24,9
49,2
48,3
100,5
30,6
48,6
22,7
29,1
39,4
8,0
66,6
26,4
63,3
52,1
18,9
95,5
80,3
29,7
81,5
91,6
32,7
25,1
8,1
40,7
24,0
50,2
38,0
62,8
53,1
28,5
97,6
32,0
33,8
36,7
80,3
45,6
59,6
84,0
21,8
41,9
7,4
42,3
45,5
73,3
70,3
14,7
39,4
20,2
29,9
95,9
31,2
1,3
4,0
3,0
56,3
3,6
75,5
78,1
64,2
25,1
92,5
94,9
63,9
62,6
51,4
22,2
17,3
62,3
25,7
52,4
77,6
38,4
80,4
51,6
91,8
89,2
43,0
51,3
19,7
94,9
54,8
11,8
50,5
97,4
10,2
55,0
86,5
43,9
95,2
69,9
99,0
31,0
59,0
87,8
80,0
4,2
39,9
40,3
11,8
58,3
14,0
65,7
15,3
87,8
47,0
49,4
75,9
9,1
35,5
43,7
12,2
58,9
47,6
23,9
5,5
73,8
97,3
97,4
18,3
57,3
11,1
89,4
74,5
28,0
25,0
20,9
97,0
38,5
7,9
23,9
6,2
39,9
89,3
63,5
78,0
68,7
60,7
40,7
77,9
23,5
76,7
16,4
99,1
62,7
63,6
59,5
15,9
13,2
24,2
52,2
21,0
59,4
100,7
94,0
84,5
14,5
29,0
71,2
50,4
64,2
35,8
29,9
71,1
91,3
68,0
83,6
37,7
86,5
88,0
52,4
78,0
47,4
6,6
28,6
41,0
58,6
100,4
91,9
21,0
17,6
6,2
69,2
79,7
42,4
21,8
79,4
60,3
100,5
54,8
82,4
70,5
93,4
39,1
38,8
69,2
68,8
3,3
91,1
84,6
7,7
62,8
2,2
17,0
6,4
90,0
14,3
12,9
25,6
85,7
31,6
20,1
75,4
11,8
18,3
54,2
20,0
60,0
77,6
46,8
49,2
37,2
51,2
28,1
79,4
96,7
81,2
67,7
4,0
49,2
38,8
22,3
86,2
71,8
29,8
15,3
78,9
90,8
17,8
22,0
43,7
62,1
42,0
13,9
23,4
62,2
99,1
18,8
93,7
29,7
79,0
33,7
54,2
3,5
35,1
79,7
42,0
13,9
83,6
51,0
24,3
1,5
30,2
80,6
8,2
75,6
1,1
21,2
95,9
83,8
42,3
10,8
64,6
7,7
34,1
47,5
86,7
32,4
91,5
83,0
21,5
88,1
12,0
99,5
6,3
77,8
23,8
19,6
42,1
73,3
23,7
8,9
53,0
75,9
31,2
93,0
75,6
95,2
4,0
71,9
90,7
72,9
20,2
67,3
43,4
69,4
42,5
79,3
72,4
31,0
47,0
15,9
9,8
74,0
5,6
39,2
93,3
7,8
65,0
43,3
40,2
79,5
78,7
64,4
13,7
26,4
16,8
37,3
88,5
83,7
85,9
16,1
93,3
84,3
97,1
59,5
97,6
31,8
81,0
39,0
54,4
49,2
30,7
89,6
3,5
38,9
100,1
76,2
16,3
66,3
2,9
67,3
58,5
12,8
72,7
22,2
17,5
9,4
30,1
73,8
60,8
90,0
58,5
66,9
76,2
86,7
24,1
20,3
86,3
95,6
88,0
93,2
49,3
55,2
83,2
82,7
3,4
62,4
7,3
89,3
99,3
10,7
49,8
100,4
4,9
47,8
15,3
87,9
66,5
7,0
43,1
18,2
75,7
10,6
72,0
40,8
65,4
12,3
90,6
81,0
77,2
47,8
19,0
44,0
50,8
28,8
60,1
12,1
6,7
53,2
18,1
24,9
98,8
25,4
76,7
40,7
62,0
76,1
99,6
80,5
9,3
41,4
28,1
55,8
46,9
85,0
6,2
83,5
84,7
52,0
87,7
73,1
9,0
90,3
96,5
55,6
46,5
5,7
88,9
23,5
47,1
62,0
72,8
81,3
51,8
65,5
96,0
40,0
95,7
45,4
21,4
65,7
36,4
71,6
79,1
29,7
24,8
24,8
75,6
32,1
83,0
25,2
4,7
52,3
27,8
42,8
6,3
27,3
99,7
41,7
11,6
85,6
32,9
26,7
24,5
59,1
69,1
41,2
80,1
4,7
90,1
74,9
91,2
47,6
56,8
58,0
74,1
15,3
45,9
52,0
35,1
45,8
16,8
50,9
81,3
75,9
51,6
37,1
21,2
68,4
91,9
98,3
29,2
42,6
35,8
10,6
1,5
46,9
66,8
14,1
69,1
78,2
62,5
13,9
90,9
83,9
82,8
83,2
93,4
93,0
27,5
25,2
93,2
54,3
48,1
44,7
60,7
40,6
38,5
86,3
11,5
71,0
1,4
85,0
5,1
14,2
14,1
24,2
92,9
74,5
2,2
9,3
25,0
77,2
56,3
34,8
12,9
76,6
46,2
18,5
16,2
83,9
38,2
95,9
8,7
18,0
32,7
69,3
58,3
24,1
14,3
24,2
54,7
19,1
24,6
89,9
44,1
